19-04-2019,20-04-2019,Hotel RL Brooklyn,$251,4.1/5,754
19-04-2019,20-04-2019,The Iroquois New York,$349,4.5/5,"2,403"
19-04-2019,20-04-2019,Archer Hotel New York,$309,4.6/5,"2,706"
19-04-2019,20-04-2019,The Gregory Hotel,$289,4.0/5,"1,322"
19-04-2019,20-04-2019,Baccarat Hotel and Residences New York,$995,4.7/5,162
19-04-2019,20-04-2019,NY Moore Hostel,$70,3.9/5,316
19-04-2019,20-04-2019,Heritage Hotel,$203,3.6/5,515
19-04-2019,20-04-2019,Dream Downtown,$250,4.0/5,"1,873"
19-04-2019,20-04-2019,"The Bernic Hotel New York City, Tapestry Collection by Hilton",$279,4.5/5,457
19-04-2019,20-04-2019,The Quin Central Park by Hilton Club,$439,4.5/5,"1,065"
19-04-2019,20-04-2019,Cambria Hotel New York - Times Square,$219,4.5/5,"1,118"
19-04-2019,20-04-2019,Millennium Premier New York Times Square,$305,4.2/5,"1,829"
19-04-2019,20-04-2019,Broadway Plaza Hotel,$229,4.2/5,"2,250"
19-04-2019,20-04-2019,The Evelyn Hotel,$279,3.7/5,"2,023"
19-04-2019,20-04-2019,3 West Club,$259,4.1/5,235
19-04-2019,20-04-2019,Warwick New York,$375,4.4/5,"5,512"
19-04-2019,20-04-2019,citizenM New York Times Square,$389,4.7/5,"2,079"
19-04-2019,20-04-2019,The Times Square EDITION,$399,4.7/5,3
19-04-2019,20-04-2019,"Martinique New York on Broadway, Curio Collection by Hilton",$239,4.1/5,"4,275"
19-04-2019,20-04-2019,Hotel Edison,$220,3.7/5,"17,900"
19-04-2019,20-04-2019,Nyma The New York Manhattan Hotel,$229,3.7/5,807
19-04-2019,20-04-2019,Hotel Beacon,$539,4.5/5,"1,837"
19-04-2019,20-04-2019,InterContinental New York Barclay,$399,4.3/5,"1,966"
19-04-2019,20-04-2019,Bogart Hotel,$279,3.8/5,266
19-04-2019,20-04-2019,Kimpton Ink48 Hotel,$246,4.4/5,"1,968"
19-04-2019,20-04-2019,Hampton Inn Times Square North,$250,4.4/5,"8,941"
19-04-2019,20-04-2019,Roxy Hotel Tribeca,$259,4.5/5,818
19-04-2019,20-04-2019,The Mansfield Hotel,$289,3.7/5,"2,215"
19-04-2019,20-04-2019,The Standard East Village,$295,4.3/5,"1,173"
19-04-2019,20-04-2019,Hotel Giraffe by Library Hotel Collection,$395,4.8/5,805
19-04-2019,20-04-2019,Morris Guest House,$176,3.3/5,20
19-04-2019,20-04-2019,The Marcel at Gramercy,$279,4.0/5,"2,194"
19-04-2019,20-04-2019,Cachet Boutique New York,$390,3.9/5,"1,382"
19-04-2019,20-04-2019,The Bowery Hotel,$435,4.6/5,102
19-04-2019,20-04-2019,Walker Hotel Greenwich Village,$285,4.4/5,373
19-04-2019,20-04-2019,Soho Grand Hotel,$356,4.3/5,"1,545"
19-04-2019,20-04-2019,The Dominick,$375,4.5/5,397
19-04-2019,20-04-2019,The Sohotel,$259,4.0/5,"1,238"
19-04-2019,20-04-2019,Room Mate Grace Boutique Hotel,$309,4.1/5,"2,308"
19-04-2019,20-04-2019,11 Howard,$279,4.3/5,394
19-04-2019,20-04-2019,Best Western Premier Herald Square,$350,4.3/5,"2,549"
19-04-2019,20-04-2019,Lexington Inn JFK Airport,$162,3.0/5,"1,738"
19-04-2019,20-04-2019,Crowne Plaza HY36 Midtown Manhattan,$269,4.5/5,654
