20-04-2019,21-04-2019,LUMA Hotel - Times Square,"1,671",9.2/10,"3,210"
20-04-2019,21-04-2019,The Mark New York,"2,857",9.0/10,264
20-04-2019,21-04-2019,Hotel Beacon,"1,751",8.8/10,"2,661"
20-04-2019,21-04-2019,The Whitby Hotel,"2,498",9.5/10,291
20-04-2019,21-04-2019,Hyatt Centric Times Square New York,949,8.7/10,"4,265"
20-04-2019,21-04-2019,The Plaza,"3,037",8.5/10,520
20-04-2019,21-04-2019,The Knickerbocker,"1,136",8.8/10,"1,697"
20-04-2019,21-04-2019,Sofitel New York,931,8.6/10,"1,245"
20-04-2019,21-04-2019,Gansevoort Meatpacking,809,8.3/10,"1,673"
20-04-2019,21-04-2019,"The Pierre, A Taj Hotel, New York","2,138",8.9/10,404
20-04-2019,21-04-2019,The Surrey,"2,498",8.5/10,209
20-04-2019,21-04-2019,The Mercer,"2,498",9.0/10,252
20-04-2019,21-04-2019,Soho Grand Hotel,802,8.5/10,"1,608"
20-04-2019,21-04-2019,MADE Hotel,"1,240",9.0/10,"1,887"
20-04-2019,21-04-2019,Gramercy Park Hotel,"1,294",8.4/10,330
20-04-2019,21-04-2019,Millennium Times Square New York,888,7.7/10,"3,605"
20-04-2019,21-04-2019,Best Western Plus Hospitality House Suites,"1,617",8.6/10,662
20-04-2019,21-04-2019,The Gallivant Times Square,677,7.3/10,"5,759"
20-04-2019,21-04-2019,Walker Hotel Greenwich Village,809,8.4/10,799
20-04-2019,21-04-2019,The Roxy Hotel Tribeca,"1,182",8.9/10,"1,225"
20-04-2019,21-04-2019,The James New York - SoHo,942,8.1/10,381
20-04-2019,21-04-2019,Crosby Street Hotel,"2,714",9.4/10,202
20-04-2019,21-04-2019,Bryant Park Hotel,"1,060",9.1/10,935
20-04-2019,21-04-2019,The Quin Central Park by Hilton Club,"1,398",8.8/10,"1,523"
20-04-2019,21-04-2019,The Bowery Hotel,"1,204",9.1/10,605
20-04-2019,21-04-2019,The Kitano Hotel New York,"1,226",8.7/10,822
20-04-2019,21-04-2019,Park Lane Hotel - A Central Park Hotel,719,7.6/10,"5,518"
20-04-2019,21-04-2019,The Time New York,823,8.2/10,"1,958"
